"pid","sid","Active","RPS","IR","Returns","Risk"
"8th Submission","939398bd",0,0.1668,-4.56777016660468,-0.0686944628139817,0.0150389490513801
"9th Submission","939398bd",0,0.1676,8.29577650077967,0.109079254368868,0.0131487696611181
"10th Submission","939398bd",0,0.166,-0.738058963940761,-0.00568038757171582,0.00769638721191895
"11th Submission","939398bd",0,0.162,0.895541759666827,0.00903245863787193,0.0100860273017668
"12th Submission","939398bd",0,0.172,4.51528987389398,0.0290527049060124,0.00643429452314595
"Global","939398bd",NA,0.1664,0.471365812612892,0.00530962366955298,0.0112643376491827
"1st Submission","b875c91c",1,0.16349680216,3.99660884668664,0.0487693286773576,0.0122026774568618
"2nd Submission","b875c91c",0,0.16034080216,-5.79065674861073,-0.0679726982012586,0.0117383400799169
"3rd Submission","b875c91c",0,0.15727480216,1.06088916333746,0.0176054952408421,0.0165950373038563
"4th Submission","b875c91c",0,0.15699240216,-4.07405737341112,-0.0689963533431546,0.0169355379709308
"5th Submission","b875c91c",0,0.15782320216,0.475427688310653,0.0048275433720424,0.0101541064829358
"6th Submission","b875c91c",0,0.16550280216,6.13621569544024,0.0581217469924391,0.00947192045997157
"7th Submission","b875c91c",0,0.16092880216,-5.07955983176335,-0.0663796090678598,0.0130679844841627
"8th Submission","b875c91c",0,0.16271560216,-4.52716682926315,-0.0738334008435538,0.0163089640006863
"9th Submission","b875c91c",0,0.16608520216,7.87254046443993,0.117595174147295,0.0149373858004884
"10th Submission","b875c91c",0,0.16067080216,-1.16609412160392,-0.0102772885602291,0.00881342969647515
"11th Submission","b875c91c",0,0.15213960216,0.407637038815045,0.00458085603097579,0.0112375853879516
"12th Submission","b875c91c",0,0.15624720216,5.57721085829658,0.0420286149798499,0.00753577658218332
"Global","b875c91c",NA,0.160018168826667,0.472622659171267,0.00606940942474613,0.012841977224259
"1st Submission","d5c78bbc",1,0.16,3.99035646097327,0.0440478302081265,0.011038570272838
"2nd Submission","d5c78bbc",1,0.16,-5.97221732269625,-0.0625144726295195,0.0104675481905096
"3rd Submission","d5c78bbc",0,0.16,1.21453203633757,0.0178109974456747,0.0146649054226547
"4th Submission","d5c78bbc",0,0.16,-4.13888689112611,-0.0634813262848845,0.0153377775123525
"5th Submission","d5c78bbc",0,0.16,0.577323516705785,0.0051771401370594,0.00896748527861852
"6th Submission","d5c78bbc",0,0.16,6.06005974912247,0.0511523833348131,0.0084409041251153
"7th Submission","d5c78bbc",0,0.16,-5.27299710725433,-0.0636822038415326,0.012077041300463
"8th Submission","d5c78bbc",0,0.16,-4.83445388360696,-0.0730900127360437,0.0151185665425175
